date,ltp
2021-01-21 09:15:00,32695.1
2021-01-21 09:16:00,32690.2
2021-01-21 09:17:00,32713.75
2021-01-21 09:18:00,32721.35
2021-01-21 09:19:00,32712.6
2021-01-21 09:20:00,32702.2
2021-01-21 09:21:00,32704.15
2021-01-21 09:22:00,32714.95
2021-01-21 09:23:00,32697.75
2021-01-21 09:24:00,32709.05
2021-01-21 09:25:00,32699.9
2021-01-21 09:26:00,32706.1
2021-01-21 09:27:00,32704.7
2021-01-21 09:28:00,32714.85
2021-01-21 09:29:00,32704.2
2021-01-21 09:30:00,32698.6
2021-01-21 09:31:00,32707.55
2021-01-21 09:32:00,32698.3
2021-01-21 09:33:00,32696.65
2021-01-21 09:34:00,32711.05
2021-01-21 09:35:00,32690.9
2021-01-21 09:36:00,32717.2
2021-01-21 09:37:00,32723.9
2021-01-21 09:38:00,32726.15
2021-01-21 09:39:00,32720.45
2021-01-21 09:40:00,32722.5
2021-01-21 09:41:00,32710.8
2021-01-21 09:42:00,32717.35
2021-01-21 09:43:00,32711.55
2021-01-21 09:44:00,32687.2
2021-01-21 09:45:00,32689.45
2021-01-21 09:46:00,32707.9
2021-01-21 09:47:00,32694.75
2021-01-21 09:48:00,32704.0
2021-01-21 09:49:00,32700.4
2021-01-21 09:50:00,32700.15
2021-01-21 09:51:00,32705.7
2021-01-21 09:52:00,32690.0
2021-01-21 09:53:00,32697.9
2021-01-21 09:54:00,32701.1
2021-01-21 09:55:00,32714.45
2021-01-21 09:56:00,32701.05
2021-01-21 09:57:00,32691.75
2021-01-21 09:58:00,32700.7
2021-01-21 09:59:00,32687.3
2021-01-21 10:00:00,32689.7
2021-01-21 10:01:00,32694.75
2021-01-21 10:02:00,32693.05
2021-01-21 10:03:00,32692.2
2021-01-21 10:04:00,32712.0
2021-01-21 10:05:00,32708.8
2021-01-21 10:06:00,32711.9
2021-01-21 10:07:00,32710.8
2021-01-21 10:08:00,32714.4
2021-01-21 10:09:00,32708.5
2021-01-21 10:10:00,32708.0
2021-01-21 10:11:00,32694.65
2021-01-21 10:12:00,32698.1
2021-01-21 10:13:00,32711.15
2021-01-21 10:14:00,32700.25
2021-01-21 10:15:00,32694.85
2021-01-21 10:16:00,32677.5
2021-01-21 10:17:00,32677.05
2021-01-21 10:18:00,32678.5
2021-01-21 10:19:00,32690.35
2021-01-21 10:20:00,32675.85
2021-01-21 10:21:00,32672.85
2021-01-21 10:22:00,32676.7
2021-01-21 10:23:00,32668.2
2021-01-21 10:24:00,32660.6
2021-01-21 10:25:00,32671.3
2021-01-21 10:26:00,32669.15
2021-01-21 10:27:00,32670.0
2021-01-21 10:28:00,32671.4
2021-01-21 10:29:00,32668.25
2021-01-21 10:30:00,32660.65
2021-01-21 10:31:00,32660.35
2021-01-21 10:32:00,32678.45
2021-01-21 10:33:00,32685.6
2021-01-21 10:34:00,32673.15
2021-01-21 10:35:00,32670.5
2021-01-21 10:36:00,32678.0
2021-01-21 10:37:00,32673.35
2021-01-21 10:38:00,32673.25
2021-01-21 10:39:00,32666.35
2021-01-21 10:40:00,32660.85
2021-01-21 10:41:00,32653.85
2021-01-21 10:42:00,32662.35
2021-01-21 10:43:00,32655.65
2021-01-21 10:44:00,32667.9
2021-01-21 10:45:00,32669.7
2021-01-21 10:46:00,32654.05
2021-01-21 10:47:00,32659.85
2021-01-21 10:48:00,32649.6
2021-01-21 10:49:00,32656.75
2021-01-21 10:50:00,32659.45
2021-01-21 10:51:00,32656.1
2021-01-21 10:52:00,32661.8
2021-01-21 10:53:00,32652.4
2021-01-21 10:54:00,32648.6
2021-01-21 10:55:00,32686.85
2021-01-21 10:56:00,32687.55
2021-01-21 10:57:00,32696.25
2021-01-21 10:58:00,32699.35
2021-01-21 10:59:00,32701.1
2021-01-21 11:00:00,32714.5
2021-01-21 11:01:00,32719.45
2021-01-21 11:02:00,32709.65
2021-01-21 11:03:00,32696.4
2021-01-21 11:04:00,32705.3
2021-01-21 11:05:00,32706.3
2021-01-21 11:06:00,32700.55
2021-01-21 11:07:00,32722.9
2021-01-21 11:08:00,32721.8
2021-01-21 11:09:00,32729.75
2021-01-21 11:10:00,32718.25
2021-01-21 11:11:00,32723.0
2021-01-21 11:12:00,32737.2
2021-01-21 11:13:00,32723.8
2021-01-21 11:14:00,32731.2
2021-01-21 11:15:00,32728.55
2021-01-21 11:16:00,32724.4
2021-01-21 11:17:00,32726.45
2021-01-21 11:18:00,32715.05
2021-01-21 11:19:00,32702.7
2021-01-21 11:20:00,32703.9
2021-01-21 11:21:00,32713.7
2021-01-21 11:22:00,32723.15
2021-01-21 11:23:00,32721.55
2021-01-21 11:24:00,32717.05
2021-01-21 11:25:00,32709.25
2021-01-21 11:26:00,32707.6
2021-01-21 11:27:00,32714.3
2021-01-21 11:28:00,32723.25
2021-01-21 11:29:00,32726.05
2021-01-21 11:30:00,32730.7
2021-01-21 11:31:00,32720.4
2021-01-21 11:32:00,32719.7
2021-01-21 11:33:00,32714.0
2021-01-21 11:34:00,32720.55
2021-01-21 11:35:00,32722.45
2021-01-21 11:36:00,32713.25
2021-01-21 11:37:00,32720.8
2021-01-21 11:38:00,32721.7
2021-01-21 11:39:00,32722.5
2021-01-21 11:40:00,32718.45
2021-01-21 11:41:00,32718.05
2021-01-21 11:42:00,32712.5
2021-01-21 11:43:00,32724.4
2021-01-21 11:44:00,32691.9
2021-01-21 11:45:00,32685.15
2021-01-21 11:46:00,32706.0
2021-01-21 11:47:00,32717.3
2021-01-21 11:48:00,32716.75
2021-01-21 11:49:00,32719.4
2021-01-21 11:50:00,32724.65
2021-01-21 11:51:00,32732.85
2021-01-21 11:52:00,32725.35
2021-01-21 11:53:00,32722.55
2021-01-21 11:54:00,32721.65
2021-01-21 11:55:00,32713.1
2021-01-21 11:56:00,32708.2
2021-01-21 11:57:00,32716.8
2021-01-21 11:58:00,32717.8
2021-01-21 11:59:00,32722.5
2021-01-21 12:00:00,32722.05
2021-01-21 12:01:00,32709.3
2021-01-21 12:02:00,32713.1
2021-01-21 12:03:00,32720.55
2021-01-21 12:04:00,32708.25
2021-01-21 12:05:00,32721.5
2021-01-21 12:06:00,32721.75
2021-01-21 12:07:00,32722.7
2021-01-21 12:08:00,32721.2
2021-01-21 12:09:00,32714.45
2021-01-21 12:10:00,32712.3
2021-01-21 12:11:00,32705.6
2021-01-21 12:12:00,32710.75
2021-01-21 12:13:00,32719.55
2021-01-21 12:14:00,32724.3
2021-01-21 12:15:00,32734.0
2021-01-21 12:16:00,32740.1
2021-01-21 12:17:00,32764.75
2021-01-21 12:18:00,32771.1
2021-01-21 12:19:00,32772.0
2021-01-21 12:20:00,32785.1
2021-01-21 12:21:00,32770.35
2021-01-21 12:22:00,32777.15
2021-01-21 12:23:00,32775.05
2021-01-21 12:24:00,32803.3
2021-01-21 12:25:00,32805.75
2021-01-21 12:26:00,32794.25
2021-01-21 12:27:00,32806.65
2021-01-21 12:28:00,32803.65
2021-01-21 12:29:00,32799.75
2021-01-21 12:30:00,32793.55
2021-01-21 12:31:00,32801.1
2021-01-21 12:32:00,32822.3
2021-01-21 12:33:00,32823.4
2021-01-21 12:34:00,32832.1
2021-01-21 12:35:00,32838.6
2021-01-21 12:36:00,32826.4
2021-01-21 12:37:00,32833.55
2021-01-21 12:38:00,32820.75
2021-01-21 12:39:00,32833.9
2021-01-21 12:40:00,32817.9
2021-01-21 12:41:00,32792.5
2021-01-21 12:42:00,32805.75
2021-01-21 12:43:00,32806.1
2021-01-21 12:44:00,32794.35
2021-01-21 12:45:00,32791.0
2021-01-21 12:46:00,32795.55
2021-01-21 12:47:00,32794.65
2021-01-21 12:48:00,32810.0
2021-01-21 12:49:00,32822.15
2021-01-21 12:50:00,32810.6
2021-01-21 12:51:00,32814.0
2021-01-21 12:52:00,32820.5
2021-01-21 12:53:00,32813.55
2021-01-21 12:54:00,32805.6
2021-01-21 12:55:00,32794.15
2021-01-21 12:56:00,32785.95
2021-01-21 12:57:00,32789.15
2021-01-21 12:58:00,32781.7
2021-01-21 12:59:00,32765.35
2021-01-21 13:00:00,32751.05
2021-01-21 13:01:00,32775.55
2021-01-21 13:02:00,32786.6
2021-01-21 13:03:00,32785.7
2021-01-21 13:04:00,32770.2
2021-01-21 13:05:00,32768.4
2021-01-21 13:06:00,32761.0
2021-01-21 13:07:00,32762.35
2021-01-21 13:08:00,32755.3
2021-01-21 13:09:00,32773.35
2021-01-21 13:10:00,32762.6
2021-01-21 13:11:00,32766.9
2021-01-21 13:12:00,32772.25
2021-01-21 13:13:00,32779.6
2021-01-21 13:14:00,32790.15
2021-01-21 13:15:00,32797.25
2021-01-21 13:16:00,32787.8
2021-01-21 13:17:00,32782.9
2021-01-21 13:18:00,32788.1
2021-01-21 13:19:00,32783.5
2021-01-21 13:20:00,32771.95
2021-01-21 13:21:00,32781.95
2021-01-21 13:22:00,32788.65
2021-01-21 13:23:00,32782.85
2021-01-21 13:24:00,32788.05
2021-01-21 13:25:00,32790.0
2021-01-21 13:26:00,32799.0
2021-01-21 13:27:00,32789.75
2021-01-21 13:28:00,32793.4
2021-01-21 13:29:00,32803.55
2021-01-21 13:30:00,32796.85
2021-01-21 13:31:00,32791.2
2021-01-21 13:32:00,32773.95
2021-01-21 13:33:00,32775.35
2021-01-21 13:34:00,32768.25
2021-01-21 13:35:00,32777.95
2021-01-21 13:36:00,32781.7
2021-01-21 13:37:00,32761.9
2021-01-21 13:38:00,32762.2
2021-01-21 13:39:00,32760.85
2021-01-21 13:40:00,32746.95
2021-01-21 13:41:00,32752.95
2021-01-21 13:42:00,32767.25
2021-01-21 13:43:00,32766.25
2021-01-21 13:44:00,32763.3
2021-01-21 13:45:00,32761.4
2021-01-21 13:46:00,32760.0
2021-01-21 13:47:00,32759.65
2021-01-21 13:48:00,32731.7
2021-01-21 13:49:00,32704.1
2021-01-21 13:50:00,32713.2
2021-01-21 13:51:00,32719.7
2021-01-21 13:52:00,32721.65
2021-01-21 13:53:00,32707.15
2021-01-21 13:54:00,32706.85
2021-01-21 13:55:00,32712.0
2021-01-21 13:56:00,32721.1
2021-01-21 13:57:00,32720.75
2021-01-21 13:58:00,32705.75
2021-01-21 13:59:00,32701.25
2021-01-21 14:00:00,32702.85
2021-01-21 14:01:00,32696.95
2021-01-21 14:02:00,32696.6
2021-01-21 14:03:00,32696.7
2021-01-21 14:04:00,32678.55
2021-01-21 14:05:00,32659.45
2021-01-21 14:06:00,32644.05
2021-01-21 14:07:00,32638.9
2021-01-21 14:08:00,32637.75
2021-01-21 14:09:00,32642.75
2021-01-21 14:10:00,32624.8
2021-01-21 14:11:00,32629.4
2021-01-21 14:12:00,32612.1
2021-01-21 14:13:00,32590.6
2021-01-21 14:14:00,32559.55
2021-01-21 14:15:00,32565.1
2021-01-21 14:16:00,32588.25
2021-01-21 14:17:00,32624.3
2021-01-21 14:18:00,32623.0
2021-01-21 14:19:00,32615.25
2021-01-21 14:20:00,32631.95
2021-01-21 14:21:00,32631.4
2021-01-21 14:22:00,32637.45
2021-01-21 14:23:00,32646.6
2021-01-21 14:24:00,32625.45
2021-01-21 14:25:00,32637.35
2021-01-21 14:26:00,32637.2
2021-01-21 14:27:00,32629.6
2021-01-21 14:28:00,32601.3
2021-01-21 14:29:00,32607.05
2021-01-21 14:30:00,32593.0
2021-01-21 14:31:00,32589.5
2021-01-21 14:32:00,32569.15
2021-01-21 14:33:00,32554.75
2021-01-21 14:34:00,32568.55
2021-01-21 14:35:00,32584.3
2021-01-21 14:36:00,32587.1
2021-01-21 14:37:00,32556.75
2021-01-21 14:38:00,32548.7
2021-01-21 14:39:00,32569.0
2021-01-21 14:40:00,32564.45
2021-01-21 14:41:00,32553.25
2021-01-21 14:42:00,32528.8
2021-01-21 14:43:00,32494.55
2021-01-21 14:44:00,32466.8
2021-01-21 14:45:00,32450.85
2021-01-21 14:46:00,32496.0
2021-01-21 14:47:00,32481.95
2021-01-21 14:48:00,32431.3
2021-01-21 14:49:00,32355.65
2021-01-21 14:50:00,32352.5
2021-01-21 14:51:00,32403.55
2021-01-21 14:52:00,32425.6
2021-01-21 14:53:00,32404.65
2021-01-21 14:54:00,32413.7
2021-01-21 14:55:00,32388.35
2021-01-21 14:56:00,32401.65
2021-01-21 14:57:00,32387.6
2021-01-21 14:58:00,32366.0
2021-01-21 14:59:00,32382.3
2021-01-21 15:00:00,32361.8
2021-01-21 15:01:00,32340.85
2021-01-21 15:02:00,32342.55
2021-01-21 15:03:00,32355.25
2021-01-21 15:04:00,32287.6
2021-01-21 15:05:00,32201.4
2021-01-21 15:06:00,32114.4
2021-01-21 15:07:00,32098.55
2021-01-21 15:08:00,32112.25
2021-01-21 15:09:00,32027.75
2021-01-21 15:10:00,32062.25
2021-01-21 15:11:00,32133.25
2021-01-21 15:12:00,32115.6
2021-01-21 15:13:00,32141.85
2021-01-21 15:14:00,32147.2
2021-01-21 15:15:00,32137.25
2021-01-21 15:16:00,32162.95
2021-01-21 15:17:00,32213.95
2021-01-21 15:18:00,32300.25
2021-01-21 15:19:00,32275.85
2021-01-21 15:20:00,32270.1
2021-01-21 15:21:00,32267.25
2021-01-21 15:22:00,32265.4
2021-01-21 15:23:00,32269.05
2021-01-21 15:24:00,32269.95
2021-01-21 15:25:00,32264.2
2021-01-21 15:26:00,32284.7
2021-01-21 15:27:00,32290.85
2021-01-21 15:28:00,32273.5
2021-01-21 15:29:00,32291.05
2021-01-22 09:15:00,31954.15
2021-01-22 09:16:00,31954.3
2021-01-22 09:17:00,31952.25
2021-01-22 09:18:00,32009.5
2021-01-22 09:19:00,32035.6
2021-01-22 09:20:00,32015.05
2021-01-22 09:21:00,31969.95
2021-01-22 09:22:00,32008.35
2021-01-22 09:23:00,32015.4
2021-01-22 09:24:00,32066.35
2021-01-22 09:25:00,32071.85
2021-01-22 09:26:00,32006.65
2021-01-22 09:27:00,31989.6
2021-01-22 09:28:00,31949.8
2021-01-22 09:29:00,31892.8
2021-01-22 09:30:00,31884.1
2021-01-22 09:31:00,31882.85
2021-01-22 09:32:00,31860.65
2021-01-22 09:33:00,31877.55
2021-01-22 09:34:00,31854.2
2021-01-22 09:35:00,31874.2
2021-01-22 09:36:00,31891.75
2021-01-22 09:37:00,31899.2
2021-01-22 09:38:00,31921.5
2021-01-22 09:39:00,31919.15
2021-01-22 09:40:00,31946.6
2021-01-22 09:41:00,31907.65
2021-01-22 09:42:00,31917.2
2021-01-22 09:43:00,31917.75
2021-01-22 09:44:00,31908.95
2021-01-22 09:45:00,31939.0
2021-01-22 09:46:00,31938.85
2021-01-22 09:47:00,31943.3
2021-01-22 09:48:00,31950.3
2021-01-22 09:49:00,31954.55
2021-01-22 09:50:00,31929.0
2021-01-22 09:51:00,31941.7
2021-01-22 09:52:00,31957.1
2021-01-22 09:53:00,31969.1
2021-01-22 09:54:00,31961.3
2021-01-22 09:55:00,31967.5
2021-01-22 09:56:00,31949.8
2021-01-22 09:57:00,31921.6
2021-01-22 09:58:00,31924.0
2021-01-22 09:59:00,31932.65
2021-01-22 10:00:00,31927.35
2021-01-22 10:01:00,31908.55
2021-01-22 10:02:00,31920.7
2021-01-22 10:03:00,31903.5
2021-01-22 10:04:00,31903.75
2021-01-22 10:05:00,31904.65
2021-01-22 10:06:00,31863.75
2021-01-22 10:07:00,31869.95
2021-01-22 10:08:00,31877.35
2021-01-22 10:09:00,31876.65
2021-01-22 10:10:00,31869.55
2021-01-22 10:11:00,31875.3
2021-01-22 10:12:00,31901.15
2021-01-22 10:13:00,31900.65
2021-01-22 10:14:00,31924.9
2021-01-22 10:15:00,31979.9
2021-01-22 10:16:00,31929.45
2021-01-22 10:17:00,31922.7
2021-01-22 10:18:00,31912.0
2021-01-22 10:19:00,31903.9
2021-01-22 10:20:00,31868.35
2021-01-22 10:21:00,31818.85
2021-01-22 10:22:00,31823.3
2021-01-22 10:23:00,31739.9
2021-01-22 10:24:00,31764.35
2021-01-22 10:25:00,31703.8
2021-01-22 10:26:00,31740.85
2021-01-22 10:27:00,31750.5
2021-01-22 10:28:00,31772.5
2021-01-22 10:29:00,31773.2
2021-01-22 10:30:00,31797.9
2021-01-22 10:31:00,31811.35
2021-01-22 10:32:00,31817.2
2021-01-22 10:33:00,31816.15
2021-01-22 10:34:00,31822.5
2021-01-22 10:35:00,31834.65
2021-01-22 10:36:00,31811.5
2021-01-22 10:37:00,31770.45
2021-01-22 10:38:00,31796.1
2021-01-22 10:39:00,31795.55
2021-01-22 10:40:00,31826.0
2021-01-22 10:41:00,31822.0
2021-01-22 10:42:00,31819.3
2021-01-22 10:43:00,31820.0
2021-01-22 10:44:00,31833.15
2021-01-22 10:45:00,31813.65
2021-01-22 10:46:00,31822.15
2021-01-22 10:47:00,31821.55
2021-01-22 10:48:00,31823.7
2021-01-22 10:49:00,31816.5
2021-01-22 10:50:00,31800.1
2021-01-22 10:51:00,31816.5
2021-01-22 10:52:00,31816.6
2021-01-22 10:53:00,31835.65
2021-01-22 10:54:00,31847.0
2021-01-22 10:55:00,31806.7
2021-01-22 10:56:00,31798.3
2021-01-22 10:57:00,31789.9
2021-01-22 10:58:00,31788.8
2021-01-22 10:59:00,31771.2
2021-01-22 11:00:00,31768.9
2021-01-22 11:01:00,31776.8
2021-01-22 11:02:00,31781.0
2021-01-22 11:03:00,31814.45
2021-01-22 11:04:00,31813.4
2021-01-22 11:05:00,31804.1
2021-01-22 11:06:00,31796.25
2021-01-22 11:07:00,31752.45
2021-01-22 11:08:00,31776.4
2021-01-22 11:09:00,31757.75
2021-01-22 11:10:00,31750.5
2021-01-22 11:11:00,31751.1
2021-01-22 11:12:00,31741.6
2021-01-22 11:13:00,31751.85
2021-01-22 11:14:00,31746.7
2021-01-22 11:15:00,31741.15
2021-01-22 11:16:00,31708.65
2021-01-22 11:17:00,31716.25
2021-01-22 11:18:00,31729.5
2021-01-22 11:19:00,31686.2
2021-01-22 11:20:00,31697.7
2021-01-22 11:21:00,31694.9
2021-01-22 11:22:00,31645.1
2021-01-22 11:23:00,31651.55
2021-01-22 11:24:00,31600.1
2021-01-22 11:25:00,31588.35
2021-01-22 11:26:00,31641.3
2021-01-22 11:27:00,31661.75
2021-01-22 11:28:00,31678.55
2021-01-22 11:29:00,31669.1
2021-01-22 11:30:00,31614.85
2021-01-22 11:31:00,31618.45
2021-01-22 11:32:00,31620.75
2021-01-22 11:33:00,31635.35
2021-01-22 11:34:00,31651.5
2021-01-22 11:35:00,31684.25
2021-01-22 11:36:00,31697.3
2021-01-22 11:37:00,31672.25
2021-01-22 11:38:00,31656.9
2021-01-22 11:39:00,31637.25
2021-01-22 11:40:00,31622.75
2021-01-22 11:41:00,31613.25
2021-01-22 11:42:00,31609.55
2021-01-22 11:43:00,31657.65
2021-01-22 11:44:00,31637.9
2021-01-22 11:45:00,31634.9
2021-01-22 11:46:00,31647.5
2021-01-22 11:47:00,31638.4
2021-01-22 11:48:00,31632.25
2021-01-22 11:49:00,31650.4
2021-01-22 11:50:00,31639.1
2021-01-22 11:51:00,31655.65
2021-01-22 11:52:00,31663.85
2021-01-22 11:53:00,31670.8
2021-01-22 11:54:00,31674.5
2021-01-22 11:55:00,31675.65
2021-01-22 11:56:00,31670.05
2021-01-22 11:57:00,31671.7
2021-01-22 11:58:00,31672.85
2021-01-22 11:59:00,31700.55
2021-01-22 12:00:00,31677.0
2021-01-22 12:01:00,31649.65
2021-01-22 12:02:00,31628.6
2021-01-22 12:03:00,31622.05
2021-01-22 12:04:00,31641.1
2021-01-22 12:05:00,31620.4
2021-01-22 12:06:00,31629.05
2021-01-22 12:07:00,31616.85
2021-01-22 12:08:00,31605.9
2021-01-22 12:09:00,31596.75
2021-01-22 12:10:00,31559.0
2021-01-22 12:11:00,31577.85
2021-01-22 12:12:00,31587.8
2021-01-22 12:13:00,31620.45
2021-01-22 12:14:00,31628.7
2021-01-22 12:15:00,31596.85
2021-01-22 12:16:00,31606.55
2021-01-22 12:17:00,31610.45
2021-01-22 12:18:00,31629.15
2021-01-22 12:19:00,31639.85
2021-01-22 12:20:00,31630.8
2021-01-22 12:21:00,31630.75
2021-01-22 12:22:00,31659.55
2021-01-22 12:23:00,31641.05
2021-01-22 12:24:00,31644.75
2021-01-22 12:25:00,31666.9
2021-01-22 12:26:00,31627.45
2021-01-22 12:27:00,31618.3
2021-01-22 12:28:00,31600.0
2021-01-22 12:29:00,31610.5
2021-01-22 12:30:00,31607.15
2021-01-22 12:31:00,31584.05
2021-01-22 12:32:00,31616.1
2021-01-22 12:33:00,31605.4
2021-01-22 12:34:00,31595.15
2021-01-22 12:35:00,31585.15
2021-01-22 12:36:00,31601.0
2021-01-22 12:37:00,31567.35
2021-01-22 12:38:00,31571.55
2021-01-22 12:39:00,31579.55
2021-01-22 12:40:00,31577.7
2021-01-22 12:41:00,31548.9
2021-01-22 12:42:00,31563.05
2021-01-22 12:43:00,31542.05
2021-01-22 12:44:00,31522.95
2021-01-22 12:45:00,31518.6
2021-01-22 12:46:00,31540.55
2021-01-22 12:47:00,31539.3
2021-01-22 12:48:00,31543.15
2021-01-22 12:49:00,31546.4
2021-01-22 12:50:00,31514.85
2021-01-22 12:51:00,31519.1
2021-01-22 12:52:00,31500.05
2021-01-22 12:53:00,31463.05
2021-01-22 12:54:00,31437.05
2021-01-22 12:55:00,31427.95
2021-01-22 12:56:00,31447.8
2021-01-22 12:57:00,31456.25
2021-01-22 12:58:00,31423.25
2021-01-22 12:59:00,31413.5
2021-01-22 13:00:00,31372.75
2021-01-22 13:01:00,31366.85
2021-01-22 13:02:00,31347.7
2021-01-22 13:03:00,31336.3
2021-01-22 13:04:00,31361.4
2021-01-22 13:05:00,31398.45
2021-01-22 13:06:00,31371.9
2021-01-22 13:07:00,31384.45
2021-01-22 13:08:00,31370.6
2021-01-22 13:09:00,31359.15
2021-01-22 13:10:00,31338.35
2021-01-22 13:11:00,31304.3
2021-01-22 13:12:00,31311.25
2021-01-22 13:13:00,31298.5
2021-01-22 13:14:00,31273.45
2021-01-22 13:15:00,31315.95
2021-01-22 13:16:00,31317.5
2021-01-22 13:17:00,31348.45
2021-01-22 13:18:00,31370.25
2021-01-22 13:19:00,31383.0
2021-01-22 13:20:00,31424.5
2021-01-22 13:21:00,31421.4
2021-01-22 13:22:00,31385.05
2021-01-22 13:23:00,31355.7
2021-01-22 13:24:00,31379.65
